,_id,lat,lng,name,oficina_principal,totalOffices
290,5d231e0ae0aeedf6e06cdfcd,40.756054,-73.986951,Primospot,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",1.0
291,5d231e0ae0aeedf6e06ce192,40.756054,-73.986951,Palyon Medical,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2.0
292,5d231e0ae0aeedf6e06ce3cb,40.756054,-73.986951,CPower,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",1.0
293,5d231e0ae0aeedf6e06ce504,40.756054,-73.986951,Conversition,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",1.0
294,5d231e0ae0aeedf6e06ce4ae,40.751804,-73.972365,Datum Legal,"{'type': 'Point', 'coordinates': [-73.972365, 40.751804]}",1.0
295,5d231e0ae0aeedf6e06ce331,40.751804,-73.972365,Integreon,"{'type': 'Point', 'coordinates': [-73.972365, 40.751804]}",1.0
296,5d231e0ae0aeedf6e06cde58,40.755959,-73.990286,Real Time Content,"{'type': 'Point', 'coordinates': [-73.990286, 40.755959]}",3.0
297,5d231e0ae0aeedf6e06cb375,40.755978,-73.990396,ideeli,"{'type': 'Point', 'coordinates': [-73.990396, 40.755978]}",1.0
298,5d231e0ae0aeedf6e06ce0ec,40.755531,-73.980861,Connectiva Systems,"{'type': 'Point', 'coordinates': [-73.980861, 40.755531]}",1.0
299,5d231e0ae0aeedf6e06cb37b,40.752516,-73.973072,WeShow,"{'type': 'Point', 'coordinates': [-73.973072, 40.752516]}",1.0
300,5d231e0ae0aeedf6e06cb298,40.755446,-73.980246,Peer39,"{'type': 'Point', 'coordinates': [-73.980246, 40.755446]}",2.0
301,5d231e0ae0aeedf6e06cbc14,40.7310476,-74.0078134,Knewton,"{'type': 'Point', 'coordinates': [-74.0078134, 40.7310476]}",1.0
302,5d231e0ae0aeedf6e06cdbea,40.7310476,-74.0078134,Recyclebank,"{'type': 'Point', 'coordinates': [-74.0078134, 40.7310476]}",1.0
303,5d231e0ae0aeedf6e06cc45c,40.7564318,-73.9871847,Thomson Reuters,"{'type': 'Point', 'coordinates': [-73.9871847, 40.7564318]}",1.0
304,5d231e0ae0aeedf6e06cc6c7,40.7564318,-73.9871847,Thomson Reuters,"{'type': 'Point', 'coordinates': [-73.9871847, 40.7564318]}",1.0
305,5d231e0ae0aeedf6e06cb0ed,40.751816,-73.971655,KIT digital,"{'type': 'Point', 'coordinates': [-73.971655, 40.751816]}",10.0
306,5d231e0ae0aeedf6e06cd838,40.75406,-73.999003,33Across,"{'type': 'Point', 'coordinates': [-73.999003, 40.75406]}",1.0
307,5d231e0ae0aeedf6e06cb950,40.75406,-73.999003,Visible World,"{'type': 'Point', 'coordinates': [-73.999003, 40.75406]}",1.0
308,5d231e0ae0aeedf6e06cc0fe,40.753772,-73.974353,RMG Connect,"{'type': 'Point', 'coordinates': [-73.974353, 40.753772]}",1.0
309,5d231e0ae0aeedf6e06ce1b5,40.732225,-74.009311,Taridium VoIP,"{'type': 'Point', 'coordinates': [-74.009311, 40.732225]}",1.0
310,5d231e0ae0aeedf6e06cb66a,40.7566658,-73.9827553,Giant Realm,"{'type': 'Point', 'coordinates': [-73.9827553, 40.7566658]}",1.0
311,5d231e0ae0aeedf6e06cb328,40.755861,-73.996272,SeeToo,"{'type': 'Point', 'coordinates': [-73.996272, 40.755861]}",1.0
312,5d231e0ae0aeedf6e06cb5ed,40.726637,-74.005177,The Media Kitchen,"{'type': 'Point', 'coordinates': [-74.005177, 40.726637]}",1.0
313,5d231e0ae0aeedf6e06ccb34,40.726637,-74.005177,Varick Media Management,"{'type': 'Point', 'coordinates': [-74.005177, 40.726637]}",1.0
314,5d231e0ae0aeedf6e06ccf80,40.7534549,-73.9724886,Arc90,"{'type': 'Point', 'coordinates': [-73.9724886, 40.7534549]}",1.0
315,5d231e0ae0aeedf6e06ccd33,40.754608,-73.974674,Tzunami SharePoint migration,"{'type': 'Point', 'coordinates': [-73.974674, 40.754608]}",1.0
316,5d231e0ae0aeedf6e06cafa5,40.7464969,-74.0094471,Joost,"{'type': 'Point', 'coordinates': [-74.0094471, 40.7464969]}",1.0
317,5d231e0ae0aeedf6e06cd4ee,40.7464969,-74.0094471,Jobulous,"{'type': 'Point', 'coordinates': [-74.0094471, 40.7464969]}",2.0
318,5d231e0ae0aeedf6e06ce43a,40.7464969,-74.0094471,Film Annex,"{'type': 'Point', 'coordinates': [-74.0094471, 40.7464969]}",1.0
319,5d231e0ae0aeedf6e06cdfbe,40.7562295,-73.9788753,Terra-Gen Power,"{'type': 'Point', 'coordinates': [-73.9788753, 40.7562295]}",1.0
320,5d231e0ae0aeedf6e06cafcb,40.722655,-73.99873,Pando Networks,"{'type': 'Point', 'coordinates': [-73.99873, 40.722655]}",1.0
321,5d231e0ae0aeedf6e06cb635,40.722655,-73.99873,Innovid,"{'type': 'Point', 'coordinates': [-73.99873, 40.722655]}",2.0
322,5d231e0ae0aeedf6e06cb496,40.75033,-73.968173,HeadStrong Brain Gym,"{'type': 'Point', 'coordinates': [-73.968173, 40.75033]}",1.0
323,5d231e0ae0aeedf6e06cc85e,40.722118,-73.9973,GroundRez,"{'type': 'Point', 'coordinates': [-73.9973, 40.722118]}",1.0
324,5d231e0ae0aeedf6e06cde5e,40.757375,-73.986005,MyPRGenie,"{'type': 'Point', 'coordinates': [-73.986005, 40.757375]}",1.0
325,5d231e0ae0aeedf6e06cbace,40.723839,-74.0013669,GoMobo,"{'type': 'Point', 'coordinates': [-74.0013669, 40.723839]}",1.0
326,5d231e0ae0aeedf6e06ccda9,40.750567,-73.968145,Homethinking,"{'type': 'Point', 'coordinates': [-73.968145, 40.750567]}",1.0
327,5d231e0ae0aeedf6e06cb4e6,40.7577017,-73.9858165,Paramount Pictures,"{'type': 'Point', 'coordinates': [-73.9858165, 40.7577017]}",2.0
328,5d231e0ae0aeedf6e06cb46e,40.756662,-73.979038,SpaceTime,"{'type': 'Point', 'coordinates': [-73.979038, 40.756662]}",1.0
329,5d231e0ae0aeedf6e06cdfe0,40.7254129,-74.0045549,Logicworks,"{'type': 'Point', 'coordinates': [-74.0045549, 40.7254129]}",1.0
330,5d231e0ae0aeedf6e06cb6d5,40.757725,-73.986011,MTV Networks,"{'type': 'Point', 'coordinates': [-73.986011, 40.757725]}",1.0
331,5d231e0ae0aeedf6e06cafa7,40.757725,-73.986011,Viacom,"{'type': 'Point', 'coordinates': [-73.986011, 40.757725]}",1.0
332,5d231e0ae0aeedf6e06cbe64,40.722266,-73.999044,Soundwalk,"{'type': 'Point', 'coordinates': [-73.999044, 40.722266]}",1.0
333,5d231e0ae0aeedf6e06cc878,40.7568493,-73.9793465,Unigo,"{'type': 'Point', 'coordinates': [-73.9793465, 40.7568493]}",1.0
334,5d231e0ae0aeedf6e06cb179,40.723384,-74.001704,OMGPOP,"{'type': 'Point', 'coordinates': [-74.001704, 40.723384]}",2.0
335,5d231e0ae0aeedf6e06cb03e,40.757929,-73.985506,revlayer,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
336,5d231e0ae0aeedf6e06cb5b3,40.757929,-73.985506,Gamers Media,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
337,5d231e0ae0aeedf6e06cb5db,40.757929,-73.985506,Totspot,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
338,5d231e0ae0aeedf6e06cb612,40.757929,-73.985506,Reuters,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
339,5d231e0ae0aeedf6e06cb651,40.757929,-73.985506,Upshot Interactive,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
340,5d231e0ae0aeedf6e06cb078,40.757929,-73.985506,Clipmarks,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
341,5d231e0ae0aeedf6e06cb6ac,40.757929,-73.985506,RiverWired,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
342,5d231e0ae0aeedf6e06cb7f7,40.757929,-73.985506,Blogio,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
343,5d231e0ae0aeedf6e06cb84b,40.757929,-73.985506,Wists,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
344,5d231e0ae0aeedf6e06cb8b9,40.757929,-73.985506,1938 Media,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
345,5d231e0ae0aeedf6e06cba66,40.757929,-73.985506,Kidmondo,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
346,5d231e0ae0aeedf6e06cb15c,40.757929,-73.985506,Fotolog,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
347,5d231e0ae0aeedf6e06cbb03,40.757929,-73.985506,MyBloop,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
348,5d231e0ae0aeedf6e06cbc90,40.757929,-73.985506,Propertyqube,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
349,5d231e0ae0aeedf6e06cbca0,40.757929,-73.985506,ConcertAttack,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
350,5d231e0ae0aeedf6e06cbcc9,40.757929,-73.985506,Pinch Media,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
351,5d231e0ae0aeedf6e06cb57a,40.757929,-73.985506,Blog Talk Radio,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
352,5d231e0ae0aeedf6e06cb317,40.757929,-73.985506,UpNext,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
353,5d231e0ae0aeedf6e06cb15a,40.757929,-73.985506,Tacoda,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
354,5d231e0ae0aeedf6e06cbb15,40.757929,-73.985506,Lyquidity,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
355,5d231e0ae0aeedf6e06cb3d0,40.757929,-73.985506,TableXchange,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
356,5d231e0ae0aeedf6e06cb19c,40.757929,-73.985506,PeekYou,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1.0
